ExternalSource,ProcessorVendorNumber,ProcessorEmployeeId,Outcome,ReferenceNumber,Action,ProgramCode,ProgramYear,EnrollmentDate,TotalProjectCost,NumberOfParticipants,ProjectDescription,Comments,ServiceProvider,ServiceAccountNumber,FirstName,LastName,EmailAddress,PrimaryPhoneNumber,AlternatePhoneNumber,PrimaryLanguage,AnnualHouseholdIncome,FamilySize,MeterNumber,PremiseId,LocationName,LocationStreet,LocationUnit,LocationCity,LocationState,LocationPostalCode,MailingAddressType,MailingAttn,MailingPOBox,MailingStreet,MailingUnit,MailingCity,MailingState,MailingCountry,MailingPostalCode,BuildingType,OccupancyStatus,SelfInstalled,ServiceVendorNumber,ServiceEmployeeId,ServiceVendor2Number,ServiceVendor2EmployeeId,ServiceVendor3Number,ServiceVendor3EmployeeId,ScheduledVisitDate,ActualVisitDate,TimeIn,TimeOut
,,,Work Complete,306102018-20,N,CUWI,2017,6/9/2017,,,,,USP,1111111111,Regression,Customer,kmccormack@esgsimplicity.com,,,English,,,,,,,,,,,Mailing,,,,,,,,,SFM,O,,2212,3322,,,,,,6/11/2017,,
,,,Work Complete,306102018-21,N,CUWI,2017,6/9/2017,,,,,USP,1111111111,Regression,Customer,kmccormack@esgsimplicity.com,,,English,,,,,,,,,,,Mailing,,,,,,,,,SFM,O,,2212,3322,,,,,,6/11/2017,,
,,,Work Complete,306102018-22,N,CUWI,2017,6/9/2017,,,,,USP,1111111111,Regression,Customer,kmccormack@esgsimplicity.com,,,English,,,,,,,,,,,Mailing,,,,,,,,,SFM,O,,2212,3322,,,,,,6/11/2017,,
,,,Work Complete,306102018-23,N,CUWI,2017,6/9/2017,,,,,USP,1111111111,Regression,Customer,kmccormack@esgsimplicity.com,,,English,,,,,,,,,,,Mailing,,,,,,,,,SFM,O,,2212,3322,,,,,,6/11/2017,,
,,,Work Complete,306102018-24,N,CUWI,2017,6/9/2017,,,,,USP,1111111111,Regression,Customer,kmccormack@esgsimplicity.com,,,English,,,,,,,,,,,Mailing,,,,,,,,,SFM,O,,2212,3322,,,,,,6/11/2017,,
,,,Work Complete,306102018-25,N,CUWI,2017,6/9/2017,,,,,USP,1111111111,Regression,Customer,kmccormack@esgsimplicity.com,,,English,,,,,,,,,,,Mailing,,,,,,,,,SFM,O,,2212,3322,,,,,,6/11/2017,,
,,,Work Complete,306102018-26,N,CUWI,2017,6/9/2017,,,,,USP,1111111111,Regression,Customer,kmccormack@esgsimplicity.com,,,English,,,,,,,,,,,Mailing,,,,,,,,,SFM,O,,2212,3322,,,,,,6/11/2017,,
,,,Work Complete,306102018-27,N,CUWI,2017,6/9/2017,,,,,USP,1111111111,Regression,Customer,kmccormack@esgsimplicity.com,,,English,,,,,,,,,,,Mailing,,,,,,,,,SFM,O,,2212,3322,,,,,,6/11/2017,,
,,,Work Complete,306102018-28,N,CUWI,2017,6/9/2017,,,,,USP,1111111111,Regression,Customer,kmccormack@esgsimplicity.com,,,English,,,,,,,,,,,Mailing,,,,,,,,,SFM,O,,2212,3322,,,,,,6/11/2017,,
,,,Work Complete,306102018-29,N,CUWI,2017,6/9/2017,,,,,USP,1111111111,Regression,Customer,kmccormack@esgsimplicity.com,,,English,,,,,,,,,,,Mailing,,,,,,,,,SFM,O,,2212,3322,,,,,,6/11/2017,,
